CASTYPE15653	Megachile onobrychidis	SAME_AS	GBIF:1335011	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:1335011	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15653	Megachile onobrychidis	SAME_AS	GBIF:7890855	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:7890855	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15653	Megachile onobrychidis	SAME_AS	GBIF:8447673	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:8447673	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15653	Megachile onobrychidis	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Megachile_Latreille_1802	Megachile				Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile		kingdom | phylum | class | order | family | genus		http://taxon-concept.plazi.org/id/Animalia/Megachile_Latreille_1802
CASTYPE15653	Megachile onobrychidis	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Megachile_(Michener_2007	Megachile				Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile		kingdom | phylum | class | order | family | genus		http://taxon-concept.plazi.org/id/Animalia/Megachile_(Michener_2007
CASTYPE15653	Megachile onobrychidis	SAME_AS	http://treatment.plazi.org/id/481E7707FFC14E09FF5AFC42FC74FADE	http://treatment.plazi.org/id/481E7707FFC14E09FF5AFC42FC74FADE				http://treatment.plazi.org/id/481E7707FFC14E09FF5AFC42FC74FADE				http://treatment.plazi.org/id/481E7707FFC14E09FF5AFC42FC74FADE
CASTYPE15653	Megachile onobrychidis	SAME_AS	http://treatment.plazi.org/id/BD71A1BB0836F74535DBEE8F3DEC78D5	http://treatment.plazi.org/id/BD71A1BB0836F74535DBEE8F3DEC78D5				http://treatment.plazi.org/id/BD71A1BB0836F74535DBEE8F3DEC78D5				http://treatment.plazi.org/id/BD71A1BB0836F74535DBEE8F3DEC78D5
CASTYPE15653	Megachile onobrychidis	SAME_AS	http://treatment.plazi.org/id/C72136B726E5580342B37994B63EAA2E	http://treatment.plazi.org/id/C72136B726E5580342B37994B63EAA2E				http://treatment.plazi.org/id/C72136B726E5580342B37994B63EAA2E				http://treatment.plazi.org/id/C72136B726E5580342B37994B63EAA2E
CASTYPE15653	Megachile onobrychidis	SAME_AS	INAT_TAXON:52784	Megachile		genus	Leafcutter, Mortar, and Resin Bees @en	Animalia | Arthropoda | Hexapoda | Insecta | Pterygota | Hymenoptera | Apocrita | Aculeata | Apoidea | Anthophila | Megachilidae | Megachilinae | Megachilini | Megachile	INAT_TAXON:1 | INAT_TAXON:47120 | INAT_TAXON:372739 | INAT_TAXON:47158 | INAT_TAXON:184884 | INAT_TAXON:47201 | INAT_TAXON:124417 | INAT_TAXON:326777 | INAT_TAXON:47222 | INAT_TAXON:630955 | INAT_TAXON:52777 | INAT_TAXON:314114 | INAT_TAXON:541027 | INAT_TAXON:52784	kingdom | phylum | subphylum | class | subclass | order | suborder | infraorder | superfamily | epifamily | family | subfamily | tribe | genus		https://inaturalist.org/taxa/52784
CASTYPE15653	Megachile onobrychidis	SAME_AS	IRMNG:1256600	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	IRMNG:11 | IRMNG:235 | IRMNG:1096 | IRMNG:10830 | IRMNG:101788 | IRMNG:1256600	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15653	Megachile onobrychidis	SAME_AS	ITIS:154366	Megachile		genus		Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Megachile	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154365 | ITIS:633926 | ITIS:633962 | ITIS:154366	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus		http://eol.org/pages/104071
CASTYPE15653	Megachile onobrychidis	SAME_AS	WD:Q261844	Megachile		genus		| Megachile	WD:Q530200 | WD:Q261844	null | genus		https://www.wikidata.org/wiki/Q261844
CASTYPE15657	Megachile sidalceae	SAME_AS	GBIF:1336076	Megachile sidalceae		species		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile | Megachile sidalceae	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:1335011 | GBIF:1336076	kingdom | phylum | class | order | family | genus | species		http://www.gbif.org/species/1336076
